Электросчетчик,Показание,"1-День, 2-Ночь",,Теплосчетчик,Показание
M1,0,1,,P1,4.9505
M1,"0,437",2,,P2,3.9516
M2,"106,397",1,,P3,4.9519
M2,"1,301",2,,P4,5.082
M3,0,1,,P5,3.2405
M3,"0,437",2,,P6,4.1527
M4,"0,001",1,,P7,4.2638
M4,"0,589",2,,P8,3.7764
M6,"0,083",1,,P9,4.6038
M6,"0,373",2,,P10,4.2505
M7,"0,027",1,,P11,3.7414
M7,"3,373",2,,P12,3.6718
M8,"546,542",1,,P13,3.9729
M8,"279,336",2,,P14,3.3754
M9,"0,071",1,,P15,3.9178
M9,"0,361",2,,P16,3.9062
M11,"2,745",1,,P17,3.3063
M11,0,2,,P18,2.9445
M12,"1,493",1,,P19,2.2517
M12,0,2,,P20,4.8479
M13,"73,017",1,,P21,4.4825
M13,"35,829",2,,P22,2.4891
M14,"4,797",1,,P23,3.5608
M14,0,2,,P24,2.7964
M15,"1,191",1,,P25,2.5187
M15,0,2,,P26,6.6621
M16,"1,491",1,,P27,4.0176
M16,0,2,,P28,4.8892
M17,"1,19",1,,P29,1.6961
M17,0,2,,P30,7.8117
M18,"1965,001",1,,P31,1.6255
M18,"1299,436",2,,P32,3.3604
M19,"2,524",1,,P33,3.2601
M19,"0,265",2,,P34,3.7064
M20,"3,626",1,,P35,1.111
M20,"0,174",2,,P37,0.1727
M21,"1,192",1,,P38,1.1171
M21,0,2,,P39,0.8908
M22,"0,041",1,,P40,1.2002
M22,"1,546",2,,P41,0.9558
M23,"2,622",1,,P42,1.0125
M23,"0,318",2,,P43,4.3204
M24,"223,282",1,,P44,1.8959
M24,"13,853",2,,P45,2.3487
M25,"1,507",1,,P46,4.1381
M25,"0,173",2,,P47,3.4756
M26,"2,31",1,,P48,3.6317
M26,"0,149",2,,P49,2.9404
M27,"1,491",1,,P50,1.9059
M27,"0,174",2,,P51,4.2979
M28,"1,505",1,,P52,4.5176
M28,"0,174",2,,P53,3.3934
M29,"2783,552",1,,P54,1.7634
M29,"1388,063",2,,P55,4.1726
M30,"1,331",1,,P56,4.5653
M30,"0,317",2,,P57,0.6321
M31,"0,036",1,,P58,4.2639
M31,"0,446",2,,P59,2.1135
M32,"1362,152",1,,P60,3.4046
M32,"440,042",2,,P61,1.0545
M33,"0,08",1,,P62,1.0153
M33,"0,359",2,,P63,1.0823
M34,"0,071",1,,P64,0.9853
M34,"0,361",2,,P65,7.7613
M35,"0,079",1,,P66,0.9122
M35,"0,419",2,,P67,4.1503
M36,"0,088",1,,P68,3.498
M36,"0,378",2,,P69,1.0098
M37,"240,933",1,,P70,1.1361
M37,"123,853",2,,P71,0.7796
M39,"0,936",1,,P72,0.8432
M39,"0,707",2,,P73,4.3594
M40,"0,327",1,,P74,3.9521
M40,"0,362",2,,P75,4.2369
M41,"0,082",1,,P76,2.9827
M41,"0,374",2,,P77,3.3345
M42,"0,09",1,,P78,3.5651
M42,"0,373",2,,P79,4.1094
M43,"305,731",1,,P80,2.7755
M43,"68,983",2,,P81,4.2325
M44,"0,994",1,,P82,3.9944
M44,"0,087",2,,P83,3.374
M45,"3950,572",1,,P84,3.2435
M45,"1952,163",2,,P85,4.1095
M46,"212,849",1,,P86,3.1321
M46,"41,172",2,,P87,4.1026
M48,"3,447",1,,P88,3.6086
M48,0,2,,P89,3.5531
M49,"1154,263",1,,P90,3.1467
M49,"549,68",2,,P91,0.9752
M50,"880,679",1,,P92,2.6704
M50,"220,336",2,,P93,1.1457
M51,"1,314",1,,P94,1.9609
M51,"0,317",2,,P95,2.341
M52,"3,532",1,,P96,0.226
M52,0,2,,P97,1.2925
M53,"401,937",1,,P98,4.5182
M53,"118,713",2,,P99,5.5622
M54,"1798,085",1,,P100,5.0497
M54,"765,37",2,,P101,4.5834
M55,"0,033",1,,P102,5.2314
M55,"1,271",2,,P103,4.5215
M56,"0,105",1,,P104,4.9025
M56,"1,266",2,,P105,7.333
M57,"0,105",1,,P106,3.8772
M57,"1,266",2,,P107,4.2536
M58,"44,833",1,,P108,5.4255
M58,"5,639",2,,P109,1.0684
M59,"889,032",1,,P110,1.0268
M59,"400,317",2,,P111,1.3112
M60,"0,036",1,,P112,1.3396
M60,"1,267",2,,P113,1.1611
M61,"0,322",1,,P114,1.3014
M61,"0,524",2,,P115,3.762
M62,"0,502",1,,P116,3.9853
M62,"1,54",2,,P117,5.2914
M63,"0,052",1,,P118,4.7009
M63,"1,306",2,,P119,3.9126
M64,"1,528",1,,P120,5.0432
M64,0,2,,P121,2.8333
M65,"1588,158",1,,P122,4.1563
M65,"861,552",2,,P123,5.2196
M66,"0,101",1,,P125,4.5569
M66,"1,267",2,,P126,4.3341
M67,"1473,377",1,,P127,4.13
M67,"737,044",2,,P128,1.2567
M68,"23,034",1,,P129,1.0899
M68,"5,024",2,,P130,4.872
M69,"2,464",1,,P131,4.521
M69,"1,294",2,,P132,5.0927
M70,"32,46",1,,P134,0.9655
M70,"15,547",2,,P135,1.1645
M71,"215,366",1,,P136,1.2307
M71,"108,289",2,,P137,1.0067
M72,"1,191",1,,P138,0.9334
M72,0,2,,P140,4.1983
M73,"271,93",1,,P141,1.1448
M73,"32,872",2,,P142,1.1158
M74,"3,972",1,,P143,1.0291
M74,0,2,,P144,0.9933
M75,"1,985",1,,P145,3.3072
M75,0,2,,P146,2.2738
M76,"2,765",1,,P147,0.9996
M76,0,2,,P148,1.1367
M77,"1,486",1,,P149,1.0588
M77,0,2,,P150,1.209
M78,"657,62",1,,P151,3.0595
M78,"87,429",2,,P152,3.2828
M79,"2,361",1,,P154,3.0791
M79,0,2,,P155,4.2346
M80,"215,366",1,,P156,1.129
M80,"108,289",2,,P157,0
M81,"2,053",1,,P158,0.8733
M81,0,2,,P159,1.1246
M82,"2,045",1,,P160,1.0981
M82,0,2,,P161,1.0395
M83,"114,343",1,,P162,1.1272
M83,"86,919",2,,P163,3.1916
M84,"2,464",1,,P164,3.0155
M84,"1,294",2,,P165,4.0311
M85,"1,53",1,,P166,4.1512
M85,0,2,,P167,3.5564
M86,"1634,268",1,,P168,3.7005
M86,"1250,429",2,,P169,2.7953
M87,"143,787",1,,P170,3.5787
M87,"81,712",2,,P171,4.5214
M88,0,1,,P172,4.9077
M88,"3,877",2,,P173,4.0705
M90,"0,02",1,,P174,4.0544
M90,"0,413",2,,P175,3.4976
M91,"1,716",1,,P176,3.4069
M91,"0,439",2,,P177,4.2921
M92,"1572,656",1,,P178,4.4263
M92,"473,305",2,,P179,4.1793
M93,"0,359",1,,P180,4.2377
M93,"2,675",2,,P181,3.171
M94,"429,19",1,,P182,2.999
M94,"21,361",2,,P183,4.3551
M95,"1415,245",1,,P184,4.0654
M95,"950,688",2,,P185,1.0292
M96,"1,397",1,,P186,3.892
M96,"2,339",2,,P187,1.8041
M97,"2,743",1,,P188,3.9854
M97,"0,027",2,,P189,2.4427
M98,"0,521",1,,P190,2.8273
M98,0,2,,P191,3.0596
M99,"26,344",1,,P192,2.8763
M99,"12,929",2,,,
M100,"0,427",1,,,
M100,0,2,,,
M101,"517,404",1,,,
M101,"46,644",2,,,
M102,"1,706",1,,,
M102,"0,013",2,,,
M103,"59,982",1,,,
M103,"61,247",2,,,
M104,"1,012",1,,,
M104,"0,561",2,,,
M105,"0,029",1,,,
M105,"1,296",2,,,
M106,"0,025",1,,,
M106,"0,556",2,,,
M107,"0,026",1,,,
M107,"0,556",2,,,
M108,"602,743",1,,,
M108,"415,013",2,,,
M109,"0,029",1,,,
M109,"1,295",2,,,
M110,"0,026",1,,,
M110,"0,555",2,,,
M111,"0,025",1,,,
M111,"1,296",2,,,
M112,"0,029",1,,,
M112,"1,295",2,,,
M113,"2,74",1,,,
M113,"0,017",2,,,
M114,"4,29",1,,,
M114,"0,034",2,,,
M115,"1,613",1,,,
M115,"0,015",2,,,
M116,"1,613",1,,,
M116,"0,013",2,,,
M117,"1,575",1,,,
M117,0,2,,,
M118,"1,995",1,,,
M118,0,2,,,
M119,"468,101",1,,,
M119,"144,395",2,,,
M120,"0,686",1,,,
M120,0,2,,,
M121,"7,042",1,,,
M121,"0,474",2,,,
M122,"0,026",1,,,
M122,"0,782",2,,,
M123,"0,35",1,,,
M123,"0,267",2,,,
M124,"0,049",1,,,
M124,"0,466",2,,,
M125,"0,395",1,,,
M125,"0,174",2,,,
M126,"1304,925",1,,,
M126,"258,844",2,,,
M127,"940,788",1,,,
M127,"388,297",2,,,
M128,"0,717",1,,,
M128,0,2,,,
M129,"0,676",1,,,
M129,0,2,,,
M130,"0,7",1,,,
M130,0,2,,,
M131,"5,873",1,,,
M131,"2,547",2,,,
M132,"0,759",1,,,
M132,0,2,,,
M133,"0,043",1,,,
M133,"2,668",2,,,
M134,"0,022",1,,,
M134,"3,373",2,,,
M135,"0,026",1,,,
M135,"1,304",2,,,
M136,"0,04",1,,,
M136,"3,374",2,,,
M137,"107,739",1,,,
M137,"54,189",2,,,
M138,"0,528",1,,,
M138,"2,668",2,,,
M139,"1556,559",1,,,
M139,"784,313",2,,,
M140,"1,614",1,,,
M140,"0,013",2,,,
M141,"2,751",1,,,
M141,"0,027",2,,,
M142,"0,368",1,,,
M142,"0,244",2,,,
M143,"0,374",1,,,
M143,"0,084",2,,,
M144,"66,546",1,,,
M144,"5,254",2,,,
M145,"1822,948",1,,,
M145,"79,581",2,,,
M146,"4051,771",1,,,
M146,"1562,874",2,,,
M147,"11,575",1,,,
M147,"7,228",2,,,
M148,"3,477",1,,,
M148,0,2,,,
M149,"1,48",1,,,
M149,0,2,,,
M150,"1,488",1,,,
M150,0,2,,,
M151,"1,533",1,,,
M151,0,2,,,
M152,"3,359",1,,,
M152,0,2,,,
M153,"1,508",1,,,
M153,0,2,,,
M154,"3602,247",1,,,
M154,"1837,44",2,,,
M155,"0,04",1,,,
M155,"1,16",2,,,
M156,"129,594",1,,,
M156,"66,706",2,,,
M157,"3,963",1,,,
M157,0,2,,,
M158,"3,962",1,,,
M158,0,2,,,
M159,"2,046",1,,,
M159,0,2,,,
M160,"4,372",1,,,
M160,"0,814",2,,,
M161,"3,905",1,,,
M161,0,2,,,
M162,"3,88",1,,,
M162,0,2,,,
M164,"1,476",1,,,
M164,0,2,,,
M165,"0,025",1,,,
M165,"1,302",2,,,
M166,"45,499",1,,,
M166,"7,214",2,,,
M167,"1,145",1,,,
M167,"0,56",2,,,
M168,"0,033",1,,,
M168,"1,295",2,,,
M169,"0,027",1,,,
M169,"0,623",2,,,
M170,"0,017",1,,,
M170,"0,62",2,,,
M171,"3,35",1,,,
M171,"2,876",2,,,
M172,"0,024",1,,,
M172,"0,557",2,,,
M173,"0,027",1,,,
M173,"0,624",2,,,
M174,"0,033",1,,,
M174,"0,623",2,,,
M175,"3,66",1,,,
M175,0,2,,,
M176,"46,937",1,,,
M176,"25,369",2,,,
M177,"1,097",1,,,
M177,"1,295",2,,,
M178,"1,684",1,,,
M178,0,2,,,
M179,"0,026",1,,,
M179,"0,625",2,,,
M180,"0,031",1,,,
M180,"1,296",2,,,
M181,"2,754",1,,,
M181,0,2,,,
M182,"405,187",1,,,
M182,"39,034",2,,,
M183,"2088,003",1,,,
M183,"1117,464",2,,,
M184,"0,047",1,,,
M184,"2,667",2,,,
M185,"2088,007",1,,,
M185,"1117,464",2,,,
M186,"0,029",1,,,
M186,"3,372",2,,,
M187,"1,233",1,,,
M187,"0,409",2,,,
M188,"0,054",1,,,
M188,"1,306",2,,,
M189,"0,131",1,,,
M189,"3,239",2,,,
M190,"333,28",1,,,
M190,"60,174",2,,,
M191,"1016,265",1,,,
M191,"137,228",2,,,
M192,"2,797",1,,,
M192,"1,541",2,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
